Dagsetning,Fjall,Gönguhópur,"Hæð fjalls 
(m)",Uppsöfnuð hækkun (m),"Lengd göngu 
(km)","Lengd göngu 
(klst)",Meðalhraði á göngu (km/klst),Veðurlýsing
05/01/2014,Úlfarsfell,Christopher Walkers,296,286,"4,2",01.34.34,"3,4",Ágætt veður en strekkingur
11/01/2014,Grímannsfell,Walkmen,482,463,"8,7",04.53.05,"2,8",Prýðis vetrarveður
12/01/2014,Mosfell í Mosfellsdal,Christopher Walkers,260,280,"3,9",01.39.21,3,Hvassviðri og skafrenningur
19/01/2014,Helgafell í Hafnarfirði,Christopher Walkers,320,264,"5,6",02.34.45,"3,5",Ágætt
25/01/2014,Eldborg nærri Geitahlíð,Ultimate Hikers,160,160,,,,
25/01/2014,Geitahlíð,Ultimate Hikers,370,550,"7,7",03.22.19,"3,3",
26/01/2014,Eldborg í Hveradölum,Christopher Walkers,450,308,"4,6",02.28.41,"3,3",
26/01/2014,Reykjafell,Christopher Walkers,518,518,,,,Þokkalegasta veður
01/02/2014,Húsfell,Christopher Walkers,280,381,"9,7",03.29.29,4,
02/02/2014,Reykjafell,The Optimists,518,260,"7,5",,,
08/02/2014,Skálafell á Reykjanesi,Walkmen,65,213,"8,9",03.40.56,4,
09/02/2014,Ísaxaræfingar,Ultimate Hikers,580,235,"2,8",03.37.02,"3,4",
10/02/2014,Helgafell í Hafnarfirði,Hikoholics,320,285,"5,8",03.13.33,"2,9",
15/02/2014,Skálafell á Hellisheiði,Christopher Walkers,520,327,"9,6",03.39.46,"3,9",
16/02/2014,Arnarfell í Krýsuvík,The Optimists,208,528,"13,2",05.15.46,"3,6",
16/02/2014,Bæjarfell í Krýsuvík,The Optimists,229,229,,,,
16/02/2014,Litla Lambafell,The Optimists,242,242,,,,
16/02/2014,Stóra Lambafell,The Optimists,248,248,,,,
17/02/2014,Stórimeitill,Hikoholics,514,347,"9,6",03.08.43,"4,3",
22/02/2014,Kerhólakambur (Kambshorn),Christopher Walkers,851,834,"7,6",04.22.31,"2,5",
23/02/2014,Hengilsvæði,Ultimate Hikers,614,456,"6,7",03.46.41,"3,1",
24/02/2014,Helgafell í Mosfellsdal,Hikoholics,223,249,5,01.46.19,"4,3",
25/02/2014,Úlfarsfell,Walkmen,296,241,"4,5",01.28.08,"3,7",
26/02/2014,Vífilsfell,Walkmen,655,551,"6,7",03.04.12,"3,1",
28/02/2014,Úlfarsfell,Walkmen,296,442,"6,5",02.01.37,4,
01/03/2014,Vörðuskeggi,Hikoholics,815,880,"13,8",06.33.38,"3,1",
01/03/2014,Húsmúli,Hikoholics,616,616,,,,
